metadata_item_id,metadata_item,required_for_clean_validation,acceptable_evidence,failure_consequence,notes
MD01,Dataset not used for training,True,audit trail showing no overlap with training/model-fitting inputs,dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD02,Dataset not used for pretraining,True,Stage 32-34 provenance confirms no pretraining/rescue use,dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD03,Dataset not used for model selection,True,"no use in choosing model, graph, alpha, thresholds, or features",dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD04,Dataset not used for candidate selection,True,no use in Stage 36 candidate or mechanism prioritization,dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD05,Dataset not used for threshold tuning,True,no tuning or cutoff decisions based on dataset,dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD06,Donor/sample-level metadata available,True,metadata table with donor/sample IDs and disease/provenance fields,dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD07,Frozen candidate direction can be tested,True,pre-specified target/candidate/direction mapping is feasible,dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD08,Pathology or mechanism readout available,True,"direct pathology, mechanism, spatial, protein, or validated surrogate readout",dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD09,Gene/module measurement available,True,gene expression or module score can be computed without post hoc selection,dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD10,Negative/null results can be reported,True,analysis plan permits reporting non-replication/null findings,dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD11,Licensing/access permits analysis,True,"license, DUA, or public terms permit the proposed analysis",dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
MD12,Batch/sample provenance documented,True,"batch, assay, sample handling, and provenance fields available",dataset cannot be approved for clean validation,Must be satisfied before Stage 37C clean validation is allowed.
