dataset_id,recommended_role,allowed_for_training,allowed_for_pretraining,allowed_for_auxiliary_supervision,reserved_for_external_validation,allowed_for_model_selection,allowed_for_final_reporting,risk_if_used_for_training,rationale,notes
align_to_graph_jepa,do_not_use_until_reviewed,False,False,False,False,False,False,Unknown until reviewed.,No clear v3-safe use inferred from file names/columns.,Artifacts=1; has_pathology_targets=False; has_cell_state_labels=False; has_trajectory_scores=False; has_perturbation_labels=False.
cellxgene_normal_microglia,self_supervised_pretraining,True,True,False,False,False,True,Moderate: using it for pretraining precludes calling it untouched validation.,Normal microglia expression anchors may support self-supervised representation pretraining; no SEA-AD-like pathology targets.,Artifacts=20; has_pathology_targets=False; has_cell_state_labels=True; has_trajectory_scores=False; has_perturbation_labels=False.
compare_representation_geometry,do_not_use_until_reviewed,False,False,False,False,False,False,Unknown until reviewed.,No clear v3-safe use inferred from file names/columns.,Artifacts=1; has_pathology_targets=False; has_cell_state_labels=False; has_trajectory_scores=False; has_perturbation_labels=False.
external_gene_masks,biological_plausibility_check,False,False,False,False,False,True,Low for reporting overlap; high if used post hoc to select targets after results.,"Gene masks are overlap/provenance aids, not direct outcome datasets.",Artifacts=2; has_pathology_targets=False; has_cell_state_labels=False; has_trajectory_scores=False; has_perturbation_labels=False.
external_validation_related,do_not_use_until_reviewed,False,False,False,False,False,False,Unknown; do not use for v3 decisions until reviewed.,Provenance or role is unclear/mixed; freeze out of training and validation until reviewed.,Artifacts=11; has_pathology_targets=True; has_cell_state_labels=True; has_trajectory_scores=True; has_perturbation_labels=True.
gse138852_grubman,biological_plausibility_check,False,False,False,False,False,True,High if reused for model selection after prior external projection analyses.,"Already used in zero-shot/projection artifacts; useful as plausibility context, not untouched validation.",Artifacts=25; has_pathology_targets=True; has_cell_state_labels=True; has_trajectory_scores=True; has_perturbation_labels=False.
gse174367_morabito,biological_plausibility_check,False,False,False,False,False,True,High if used for training: would contaminate a previously used external plausibility/projection reference.,Already used/generated in v2 external projection/trajectory artifacts; not untouched for v3 external validation.,Artifacts=21; has_pathology_targets=True; has_cell_state_labels=True; has_trajectory_scores=True; has_perturbation_labels=False.
open_validation_framework_plan_v1,do_not_use_until_reviewed,False,False,False,False,False,False,Unknown until reviewed.,No clear v3-safe use inferred from file names/columns.,Artifacts=1; has_pathology_targets=False; has_cell_state_labels=False; has_trajectory_scores=False; has_perturbation_labels=False.
perturbation_related,future_perturbation_calibration,False,False,False,False,False,True,Moderate if synthetic or previously inspected perturbation references are mixed with final validation claims.,"Perturbation artifacts are relevant to future calibration, not current pathology prediction validation.",Artifacts=5; has_pathology_targets=False; has_cell_state_labels=False; has_trajectory_scores=False; has_perturbation_labels=True.
public_pca_vs_jepa_pathology_geometry,do_not_use_until_reviewed,False,False,False,False,False,False,Unknown until reviewed.,No clear v3-safe use inferred from file names/columns.,Artifacts=1; has_pathology_targets=True; has_cell_state_labels=False; has_trajectory_scores=False; has_perturbation_labels=False.
stage_c_finetuning_artifacts,do_not_use_until_reviewed,False,False,False,False,False,False,Unknown; do not use for v3 decisions until reviewed.,Provenance or role is unclear/mixed; freeze out of training and validation until reviewed.,Artifacts=1; has_pathology_targets=False; has_cell_state_labels=False; has_trajectory_scores=False; has_perturbation_labels=False.
test_open_validation_alignment,do_not_use_until_reviewed,False,False,False,False,False,False,Unknown until reviewed.,No clear v3-safe use inferred from file names/columns.,Artifacts=1; has_pathology_targets=False; has_cell_state_labels=False; has_trajectory_scores=False; has_perturbation_labels=False.
v2_1_external_or_projection_artifacts,do_not_use_until_reviewed,False,False,False,False,False,False,Unknown; do not use for v3 decisions until reviewed.,Provenance or role is unclear/mixed; freeze out of training and validation until reviewed.,Artifacts=48; has_pathology_targets=True; has_cell_state_labels=True; has_trajectory_scores=False; has_perturbation_labels=True.
v2_2_abeta_responsive_microglia,auxiliary_supervised_training,True,False,True,False,False,True,High if later treated as independent validation because it would influence auxiliary training.,"Aβ-responsive cell/axis labels can supervise auxiliary biological heads, but are not main donor-level pathology targets.",Artifacts=24; has_pathology_targets=True; has_cell_state_labels=False; has_trajectory_scores=False; has_perturbation_labels=False.
v2_2_external_or_projection_artifacts,do_not_use_until_reviewed,False,False,False,False,False,False,Unknown; do not use for v3 decisions until reviewed.,Provenance or role is unclear/mixed; freeze out of training and validation until reviewed.,Artifacts=30; has_pathology_targets=True; has_cell_state_labels=True; has_trajectory_scores=False; has_perturbation_labels=False.
