graph_id,graph_type,source_path,found,n_edges,n_nodes,overlaps_selected_matrix,n_overlap_genes,usable,notes
GRAPH001,graph_context_table,results\tables\ablation_no_graph_stage_a_v1_history.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH002,graph_context_table,results\tables\ablation_no_graph_stage_b_v1_history.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH003,graph_context_table,results\tables\ablation_strict_shuffled_graph_stage_a_v1_history.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH004,graph_context_table,results\tables\ablation_strict_shuffled_graph_stage_b_v1_history.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH005,graph_context_table,results\tables\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH006,graph_context_table,results\tables\discovery_graph_connected_feature_wide_pathology_axis_fingerprints.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH007,graph_context_table,results\tables\discovery_graph_neighborhood_coherence.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH008,graph_context_table,results\tables\discovery_scorecard_v2_graph_connected_feature_wide.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH009,graph_context_table,results\tables\discovery_scorecard_v2_graph_neighborhood_coherence.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH010,graph_context_table,results\tables\existing_graph_jepa_env_package_audit_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH011,graph_context_table,results\tables\existing_v1_no_graph_ablation_compatibility_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH012,graph_context_table,results\tables\graph_jepa_stage_c_disease_rehearsal_history.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH013,graph_context_table,results\tables\graph_jepa_stage_c_elastic_cov001_e10_history.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH014,graph_context_table,results\tables\graph_jepa_stage_c_elastic_w005_e10_history.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH015,graph_context_table,results\tables\graph_jepa_v2_input_check.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH016,graph_context_table,results\tables\graph_jepa_v3_causal_evidence_schema_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH017,graph_context_table,results\tables\graph_jepa_v3_design_requirements_v1.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH018,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_aligned_donor_embeddings.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH019,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_aligned_module_scores.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH020,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_aligned_predicted_pathology.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH021,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_aligned_sea_ad_trajectory_vectors.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH022,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_aligned_summary.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
GRAPH023,graph_context_table,results\tables\gse138852_graph_jepa_zero_shot_aligned_trajectory_scores.csv,True,0,,not_evaluated,,False,candidate graph file; raw graph is not staged; not treated as curated biological topology for Stage50
