asset_id,category,asset_name,expected_path_or_package,exists_or_available,asset_type,size_or_count,v3_role,immediately_usable,needed_for_minimum_v3,blocking_if_missing,notes
CORE-001,core_v2_asset,SEA-AD H5AD file,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,True,h5ad,458239253 bytes,primary v3 expression input,True,True,True,Frozen v2 single-cell input.
CORE-002,core_v2_asset,"2,957-gene feature universe",results/tables/ablation_edge_sets/no_graph_identity_edges_v1.csv,True,csv,2957 rows; 130488 bytes,canonical gene universe and node order,True,True,True,Identity edge file has one self-loop per feature.
CORE-003,core_v2_asset,identity edge file / canonical gene-index map,results/tables/ablation_edge_sets/no_graph_identity_edges_v1.csv,True,csv,2957 rows; 130488 bytes,no-graph control and node map,True,True,True,Required to align all graph sources.
CORE-004,core_v2_asset,real graph edge file,results/tables/v2_graph_consensus_edges.csv,True,csv,114029 rows; 6391002 bytes,v3 first typed graph source,True,True,True,Consensus graph with STRING/WGCNA support labels.
CORE-005,core_v2_asset,real graph edge index,results/tables/v2_graph_consensus_edge_index.csv,True,csv,114029 rows; 3697740 bytes,legacy loader-compatible edge index,True,True,False,Used by v2 model checkpoint evaluation.
CORE-006,core_v2_asset,no-graph identity edge file,results/tables/ablation_edge_sets/no_graph_identity_edges_v1.csv,True,csv,2957 rows; 130488 bytes,matched no-message-passing control,True,True,True,Reusable for v3 no-graph control.
CORE-007,core_v2_asset,strict shuffled graph edge file,results/tables/ablation_edge_sets/strict_shuffled_graph_edges_v1.csv,True,csv,114029 rows; 8192186 bytes,zero-overlap degree-preserving graph control,True,True,True,Reusable strict shuffled topology.
CORE-008,core_v2_asset,strict shuffled diagnostics,results/tables/ablation_edge_sets/strict_shuffled_graph_edge_diagnostics_v1.csv,True,csv,18 rows; 1270 bytes,strict shuffled provenance,True,True,False,Confirms zero overlap and degree preservation.
CORE-009,core_v2_asset,donor-level fold definitions if saved,results/tables/donor_groupkfold_validation.csv,True,csv,3 rows; 571 bytes,prior donor fold artifact/reference,True,False,False,Existing fold outputs found; Stage 24 should lock explicit v3 folds.
CORE-010,core_v2_asset,pathology target table,data\processed\metadata\sea_ad_mtg_donor_pathology_targets.csv,True,csv,84 rows; 21982 bytes,donor pathology targets and environment covariates,True,True,True,"Contains AT8, 6e10/Aβ, GFAP, Iba1, NeuN plus covariates."
CORE-011,core_v2_asset,baseline comparison table,results/tables/discovery_baseline_predictive_representation_comparison.csv,True,csv,35 rows; 9330 bytes,v2 baseline reference,True,True,True,"Includes module mean, PCA, raw expression baselines."
CORE-012,core_v2_asset,final ablation comparison table,results/tables/strict_shuffled_graph_ablation_predictive_representation_comparison_v1.csv,True,csv,30 rows; 18432 bytes,v2 final graph-control benchmark,True,True,True,"Real graph, no-graph, strict shuffled, and simple baselines."
CORE-013,core_v2_asset,v2 scorecard table,results/tables/discovery_scorecard_v2_graph_connected_feature_wide.csv,True,csv,2676 rows; 1641085 bytes,Discovery Atlas scorecard seed,True,True,False,Model-implied hypotheses only.
CORE-014,core_v2_asset,v2 final candidate shortlist,results/tables/discovery_final_candidate_shortlist_v3.csv,True,csv,149 rows; 206916 bytes,Discovery Atlas candidate reference,True,True,False,Evidence gates remain conservative.
