asset_id,study_id,decision,primary_role,decision_reason,storage_assessment
gse133357_regional_microglia_fpkm,GSE133357,download_useful,regional_primary_microglia_reference,patient_matched_primary_human_microglia_across_forebrain_and_cerebellum,fits_current_portfolio_no_fixed_cap_applied
gse146639_processed_microglia_archive,GSE146639,download_required,aged_primary_microglia_validation,direct_primary_human_microglia_with_non_demented_plaque_free_plaque_positive_and_AD_contexts,fits_current_portfolio_no_fixed_cap_applied
gse243292_full_dlpfc_h5ad,GSE243292,download_required,aged_normal_and_pathology_context_validation,processed_single_nucleus_object_contains_explicit_normal_pathological_aging_and_AD_donor_contexts,fits_current_portfolio_no_fixed_cap_applied
gse243292_readme,GSE243292,download_required,technical_compatibility_only,official_processed_object_documentation,fits_current_portfolio_no_fixed_cap_applied
gse97930_cerebellar_umi,GSE97930,download,normal_training_reference,approved_processed_reference,fits_current_portfolio_no_fixed_cap_applied
gse97930_frontal_cortex_umi,GSE97930,download,normal_training_reference,approved_processed_reference,fits_current_portfolio_no_fixed_cap_applied
gse97930_readme,GSE97930,download,technical_compatibility_only,approved_processed_reference,fits_current_portfolio_no_fixed_cap_applied
gse97930_visual_cortex_umi,GSE97930,download,normal_training_reference,approved_processed_reference,fits_current_portfolio_no_fixed_cap_applied
gse99074_human_microglia_counts,GSE99074,download_required,aged_primary_microglia_reference,purified_primary_microglia_from_39_intact_cognition_human_donors_with_processed_gene_counts,fits_current_portfolio_no_fixed_cap_applied
siletti_hbca_all_non_neuronal,siletti_human_brain_cell_atlas_v1,download,clean_normal_holdout,approved_processed_reference,fits_current_portfolio_no_fixed_cap_applied
