mechanism_id,mechanism_name,validation_category,assay_status,readout_goal,required_before_claim,allowed_claim_language,disallowed_claim_language
M1,Endolysosomal / autophagy / proteostasis,independent cohort replication,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M1,Endolysosomal / autophagy / proteostasis,spatial transcriptomic confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M1,Endolysosomal / autophagy / proteostasis,single-cell or single-nucleus expression confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M1,Endolysosomal / autophagy / proteostasis,pathology colocalization,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M1,Endolysosomal / autophagy / proteostasis,immunostaining or protein-level confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M1,Endolysosomal / autophagy / proteostasis,"perturbation experiment, only as future causal follow-up",proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M1,Endolysosomal / autophagy / proteostasis,manual biological review,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M2,Glial activation / disease-associated microglia-astrocyte state,independent cohort replication,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M2,Glial activation / disease-associated microglia-astrocyte state,spatial transcriptomic confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
M2,Glial activation / disease-associated microglia-astrocyte state,single-cell or single-nucleus expression confirmation,proposed_not_completed,test or contextualize frozen follow-up hypothesis under prespecified rules,clean independent evidence; perturbation required for causal language,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
