dataset_id,dataset_name,support_type,mechanisms_or_candidates_supported,allowed_analysis_type,allowed_claim_language,prohibited_claim_language,priority
GSE138852,GSE138852 / Grubman-Leng,external_biological_support_candidate,to_be_mapped_after_metadata_review,directional smoke-test; external biological support; projection/signature support,external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
HBCC,HBCC,robustness_only,to_be_mapped_after_metadata_review,"robustness/provenance/context only, with explicit non-clean-validation label",external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
HBCA,HBCA / Human Brain Cell Atlas,robustness_only,to_be_mapped_after_metadata_review,"robustness/provenance/context only, with explicit non-clean-validation label",external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
PUBLIC_CELLXGENE_MICROGLIA,Public CELLxGENE microglia datasets,projection_or_signature_support_candidate,to_be_mapped_after_metadata_review,projection/signature support; mechanism concordance,external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
LU_2026_SIGNATURES,Lu et al. 2026 signatures/supplementary tables,projection_or_signature_support_candidate,to_be_mapped_after_metadata_review,projection/signature support; mechanism concordance,external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
PIG_WGCNA_RESOURCES,PIG / WGCNA resources,projection_or_signature_support_candidate,to_be_mapped_after_metadata_review,projection/signature support; mechanism concordance,external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
GSE181279,Peripheral immune plausibility/auxiliary dataset,projection_or_signature_support_candidate,to_be_mapped_after_metadata_review,projection/signature support; mechanism concordance,external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
b165f033-9dec-468a-9248-802fc6902a74,All non-neuronal cells,robustness_only,to_be_mapped_after_metadata_review,"robustness/provenance/context only, with explicit non-clean-validation label",external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,low
5c97eeeb-7e52-44b3-b010-b832b1f5424c,HBCC_Cohort,robustness_only,to_be_mapped_after_metadata_review,"robustness/provenance/context only, with explicit non-clean-validation label",external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,low
Olah_live_microglia,Olah live human microglia,projection_or_signature_support_candidate,to_be_mapped_after_metadata_review,projection/signature support; mechanism concordance,external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
ac0c6561-7a48-4185-af6f-af799f699172,All Cells - snRNA-seq,projection_or_signature_support_candidate,to_be_mapped_after_metadata_review,projection/signature support; mechanism concordance,external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
Tabula_Sapiens_immune,Tabula Sapiens - Immune,projection_or_signature_support_candidate,to_be_mapped_after_metadata_review,projection/signature support; mechanism concordance,external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
Tabula_Sapiens_myeloid,Tabula Sapiens myeloid/immune cells,projection_or_signature_support_candidate,to_be_mapped_after_metadata_review,projection/signature support; mechanism concordance,external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,medium
GSE160936,GSE160936,external_biological_support_candidate,to_be_mapped_after_metadata_review,external biological support and manual metadata review for possible conditional validation,external biological/supporting evidence only; not clean validation unless separately approved,validated; clean validation proven; external validation completed; causal regulator; therapeutic target; disease-modifying target,high
