candidate_id,candidate_type,evidence_tier,reason_for_tier,allowed_claim,disallowed_claims,needed_to_upgrade_tier
APOE,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
BSG,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
CST7,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
CTSB,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
CTSD,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
GPX4,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
HMOX1,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
IL27RA,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
LAMP2,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
LAPTM5,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
LGALS3,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
NFKBIA,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
NPC2,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
NQO1,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
SLC6A12,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
SOD1,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
SOD2,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
TREM2,gene,Tier 1,frozen Stage36E candidate with cross-version/support context summarized in Stage47,Graph-JEPA-prioritized candidate/network anchor for follow-up,validated target; causal regulator; therapeutic target; experimental gene ablation,independent validation and direct perturbational evidence
M1,module,Tier 1,frozen Stage36E mechanism bin,internally prioritized follow-up mechanism,causal pathway; therapeutic target; validated disease mechanism,external/cell-state/protein/perturbation validation
M2,module,Tier 1,frozen Stage36E mechanism bin,internally prioritized follow-up mechanism,causal pathway; therapeutic target; validated disease mechanism,external/cell-state/protein/perturbation validation
M3,module,Tier 2,frozen Stage36E mechanism bin,internally prioritized follow-up mechanism,causal pathway; therapeutic target; validated disease mechanism,external/cell-state/protein/perturbation validation
M4,module,Tier 2,frozen Stage36E mechanism bin,internally prioritized follow-up mechanism,causal pathway; therapeutic target; validated disease mechanism,external/cell-state/protein/perturbation validation
N1,network,Tier 1 mechanism,mechanism co-membership network; graph-specific claim not made,"network-level hypothesis bin, not validated causal network",validated causal network; therapeutic network,curated graph controls and experimental/network validation
N2,network,Tier 1 mechanism,mechanism co-membership network; graph-specific claim not made,"network-level hypothesis bin, not validated causal network",validated causal network; therapeutic network,curated graph controls and experimental/network validation
N3,network,Tier 2 mechanism,mechanism co-membership network; graph-specific claim not made,"network-level hypothesis bin, not validated causal network",validated causal network; therapeutic network,curated graph controls and experimental/network validation
N4,network,Tier 2 mechanism,mechanism co-membership network; graph-specific claim not made,"network-level hypothesis bin, not validated causal network",validated causal network; therapeutic network,curated graph controls and experimental/network validation
