failure_id,historical_lineage,category,description,evidence_status,evidence_source_path,evidence_section_or_field,observed_metric_or_result,scientific_consequence,v4_prevention,blocking_for_v4,requires_human_decision
D01_matrix_scale_semantics,v1-v3,data_and_preprocessing,"The repository does not provide one lineage-wide contract distinguishing raw, normalized, and scaled model inputs.",unresolved_from_current_repository_evidence,,repository search: raw/normalized/scaled input semantics,No single authoritative lineage-wide matrix-scale declaration was found.,"A hidden scale change could invalidate transfer, masking, and perturbation interpretation.","Freeze matrix semantics, transform parameters, and matrix hashes before v4A training.",True,True
D02_source_layer_semantics,v1-v3,data_and_preprocessing,The source AnnData layer used by every historical model is not established by one current repository artifact.,unresolved_from_current_repository_evidence,,repository search: AnnData X/layers/raw provenance,Lineage-wide source-layer equivalence remains unverified.,"The same H5AD can yield materially different inputs depending on X, raw, or layers selection.","Record source object, source layer, sparsity, dtype, and transform in the v4 dataset manifest.",True,True
D03_feature_order_drift,v3,data_and_preprocessing,Feature order was treated as a reproducibility boundary in the frozen perturbation pipeline.,resolved_with_repository_evidence,results/tables/stage77_perturbation_scenario_manifest_v1.csv,feature_order_hash,All Stage77 scenarios record feature_order_hash=4f65c677c8673754756118c6d978a3c04e73a57f7002d42e8550932b94b89662.,Unnoticed reordering would apply expression and graph effects to the wrong genes.,"Require ordered feature files plus hashes at build, checkpoint load, and inference.",True,False
D04_gene_symbol_uniqueness,v1-v3,data_and_preprocessing,"A complete audit of duplicate, alias-colliding, or ambiguous gene symbols is not discoverable for the frozen feature vocabulary.",unresolved_from_current_repository_evidence,,repository search: duplicate and ambiguous symbols,No lineage-wide uniqueness decision table was found.,Ambiguous symbols can merge genes or disconnect graph and regulatory inputs.,Create a versioned canonical symbol and stable-ID map with explicit duplicate policy.,True,True
D05_missing_regulators_and_targets,v3,data_and_preprocessing,"The frozen 2,957-gene feature space omits regulators and candidate targets needed by Stage75 evidence.",confirmed_from_repository_evidence,results/tables/stage76_regulator_readiness_v1.csv,regulator_present_in_jepa_feature_space and target_genes_absent_from_jepa_feature_space,"CEBPA and RELA are absent; Tier A target coverage is ELF1 23/25, SPI1 14/15, and STAT1 16/18.",Regulatory simulations were restricted by vocabulary rather than only by evidence strength.,Design the v4 vocabulary before training and report coverage against frozen regulatory candidates.,True,True
D06_cross_dataset_transform_mismatch,v3,data_and_preprocessing,External benchmarks required dataset-specific raw-count size-factor log1p handling and did not establish transform equivalence to SEA-AD.,documented_risk_from_repository_evidence,results/reports/stage34b_hbcc_external_pretraining_report_v1.md,dataset manifest and benchmark_transform,HBCC used raw_count_size_factor_log1p with 0.9682 gene overlap; external pretraining still did not rescue the deficit.,Uncontrolled transform differences can masquerade as domain or model failure.,Fit and freeze one train-derived transform contract and test scale diagnostics per dataset.,True,True
D07_donor_sample_identity_lineage_audit,v1-v3,data_and_preprocessing,A single cross-dataset donor and sample identity reconciliation for all historical inputs was not found.,unresolved_from_current_repository_evidence,,repository search: donor/sample identity reconciliation,"Dataset-specific donor fields exist, but lineage-wide identity equivalence is unresolved.",Identity collisions or aliases can create leakage or incorrect aggregation.,"Freeze canonical donor, sample, and section IDs with source-specific mapping hashes.",True,True
D08_silent_preprocessing_change,v3,data_and_preprocessing,Stage76 showed that preprocessing and archived baselines require explicit reproducibility checks.,resolved_with_repository_evidence,results/reports/stage76_perturbation_readiness_v1.json,preprocessing provenance and deterministic repeated inference,Repeated inference matched exactly and the frozen readiness report retained preprocessing and feature-order provenance.,Silent preprocessing drift can make checkpoint outputs incomparable while code still runs.,Make preprocessing hashes and archived-reference reproduction mandatory v4 load gates.,True,False
E01_external_domain_compatibility,v3,external_pretraining,The causal contribution of domain mismatch to the external-pretraining deficit remains unresolved.,unresolved_from_current_repository_evidence,,repository search: quantitative domain equivalence,"External pretraining underperformed, but domain mismatch was not isolated as the cause.",A failed transfer run cannot identify which domain axis caused failure.,"Audit tissue, assay, donor, cell state, and distribution shift before v4 pretraining.",True,True
E02_external_cell_type_mismatch,v3,external_pretraining,Filtering an external atlas to microglia/myeloid cells did not rescue transfer.,confirmed_from_repository_evidence,results/reports/stage34a_hbca_microglia_filtered_external_pretraining_report_v1.md,summary and cell-type filter audit,"10,325 filtered cells; best mean pooled OOF Spearman=0.2945; rescue pass=False.",Broad-cell pretraining mismatch was not the only cause of the deficit.,Use cell-state-aware sampling and compare matched and broad external pools.,False,False
