dataset_id,study_id,tissue_state,role,foundation_vocabulary_eligible,split_domain,claim_boundary
GSE134577,GSE134577,living_non_cortical,csf_validation,False,adapter_or_validation,not_direct_cortical_foundation_rna
GSE181279,GSE181279,living_non_cortical,pbmc_validation,False,adapter_or_validation,not_direct_cortical_foundation_rna
GSE200164,GSE200164,living_non_cortical,csf_adapter_validation,False,adapter_or_validation,not_direct_cortical_foundation_rna
GSE226267,GSE226267,living_non_cortical,peripheral_atac_adapter,False,adapter_or_validation,not_direct_cortical_foundation_rna
GSE226602,GSE226602,living_non_cortical,peripheral_rna_adapter,False,adapter_or_validation,not_direct_cortical_foundation_rna
GSE270454,GSE270454,living_non_cortical,whole_blood_validation,False,adapter_or_validation,not_direct_cortical_foundation_rna
GSE292141,GSE292141,living_non_cortical,paired_csf_pbmc_adapter,False,adapter_or_validation,not_direct_cortical_foundation_rna
GSE302937,GSE302937,living_non_cortical,olfactory_adapter,False,adapter_or_validation,not_direct_cortical_foundation_rna
GSE305625,GSE305625,living_non_cortical,mirna_validation,False,adapter_or_validation,not_direct_cortical_foundation_rna
NPH52_Abeta,NPH52,living_nph_cortex,living_early_amyloid_continuation,False,continuation,pathology_label_used_only_for_cohort_membership
NPH52_AbetaTau,NPH52,living_nph_cortex,living_amyloid_tau_continuation,False,continuation,pathology_label_used_only_for_cohort_membership
HVS,HVS,living_surgical_cortex,foundation_training_candidate,True,foundation,nonpathological_sampled_neocortex_from_neurosurgical_patients
NPH52_Ctrl,NPH52,living_nph_cortex,foundation_training_candidate,True,foundation,pathology_negative_nph_surgical_biopsy_not_healthy_volunteer
sea_ad_ang_rna_final_2026,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
sea_ad_caudate_rna_all_2025,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
sea_ad_fi_rna_final_2026,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
sea_ad_hip_rna_final_2026,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
sea_ad_itg_rna_final_2026,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
sea_ad_lec_rna_final_2026,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
sea_ad_mec_rna_final_2026,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
sea_ad_mtg_rna_final_2026,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
sea_ad_pfc_a9_rna_final_2026,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
sea_ad_stg_rna_final_2026,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
sea_ad_v1c_rna_final_2026,SEA_AD,postmortem_brain,foundation_training_candidate,True,foundation,pathology_blind_self_supervised_foundation
gse146639_processed_microglia_archive,GSE146639,postmortem_brain,postmortem_microglia_validation,False,validation,postmortem_not_living
gse243292_full_dlpfc_h5ad,GSE243292,postmortem_brain,pathology_context_validation,False,validation,pathology_context_validation_only
siletti_hbca_all_non_neuronal,Siletti,postmortem_brain,whole_study_external_holdout,False,whole_study_external_holdout,excluded_from_vocabulary_development_and_checkpoint_selection
